No.,Time,Source,Destination,Protocol,Length,Info,Time,Result
42,2017-03-06 16:05:02.530833,192.168.233.145,192.168.233.114,SMPP,70,"[TCP Previous segment not captured] SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:02,THR
43,2017-03-06 16:05:02.732670,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:02,OK
44,2017-03-06 16:05:02.737224,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:02,OK
45,2017-03-06 16:05:02.744543,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:02,THR
46,2017-03-06 16:05:02.946672,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:02,OK
47,2017-03-06 16:05:02.951251,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:02,OK
48,2017-03-06 16:05:02.955918,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:02,THR
49,2017-03-06 16:05:03.157804,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:03,OK
50,2017-03-06 16:05:03.161635,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:03,OK
51,2017-03-06 16:05:03.165205,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:03,THR
52,2017-03-06 16:05:03.366994,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:03,OK
53,2017-03-06 16:05:03.372450,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:03,OK
54,2017-03-06 16:05:03.376079,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:03,THR
55,2017-03-06 16:05:03.618501,192.168.233.145,192.168.233.114,SMPP,78,"[TCP Previous segment not captured] SMPP Submit_sm - resp: ""Ok""",16:05:03,OK
56,2017-03-06 16:05:03.622424,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:03,OK
57,2017-03-06 16:05:03.625634,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:03,THR
58,2017-03-06 16:05:03.827207,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:03,OK
59,2017-03-06 16:05:03.831179,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:03,OK
60,2017-03-06 16:05:03.836117,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:03,THR
61,2017-03-06 16:05:04.038340,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:04,OK
62,2017-03-06 16:05:04.042455,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:04,OK
63,2017-03-06 16:05:04.045934,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:04,THR
64,2017-03-06 16:05:04.247887,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:04,OK
65,2017-03-06 16:05:04.251764,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:04,OK
66,2017-03-06 16:05:04.255173,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:04,THR
67,2017-03-06 16:05:04.457028,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:04,OK
68,2017-03-06 16:05:04.460927,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:04,OK
69,2017-03-06 16:05:04.464270,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:04,THR
70,2017-03-06 16:05:04.666274,192.168.233.145,192.168.233.114,SMPP,78,"[TCP Previous segment not captured] SMPP Submit_sm - resp: ""Ok""",16:05:04,OK
71,2017-03-06 16:05:04.670372,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:04,OK
72,2017-03-06 16:05:04.673733,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:04,THR
73,2017-03-06 16:05:04.875713,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:04,OK
74,2017-03-06 16:05:04.881070,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:04,OK
75,2017-03-06 16:05:04.884503,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:04,THR
76,2017-03-06 16:05:05.085358,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:05,OK
77,2017-03-06 16:05:05.089093,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:05,OK
78,2017-03-06 16:05:05.093350,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:05,THR
79,2017-03-06 16:05:05.295023,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:05,OK
80,2017-03-06 16:05:05.299181,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:05,OK
81,2017-03-06 16:05:05.302620,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:05,THR
82,2017-03-06 16:05:05.503482,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:05,OK
83,2017-03-06 16:05:05.507250,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:05,OK
84,2017-03-06 16:05:05.510441,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:05,THR
85,2017-03-06 16:05:05.712311,192.168.233.145,192.168.233.114,SMPP,78,"[TCP Previous segment not captured] SMPP Submit_sm - resp: ""Ok""",16:05:05,OK
86,2017-03-06 16:05:05.769060,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:05,OK
87,2017-03-06 16:05:05.772336,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:05,THR
88,2017-03-06 16:05:05.973889,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:05,OK
89,2017-03-06 16:05:05.977850,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:05,OK
90,2017-03-06 16:05:05.982970,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:05,THR
91,2017-03-06 16:05:06.184355,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:06,OK
92,2017-03-06 16:05:06.187969,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:06,OK
93,2017-03-06 16:05:06.199641,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:06,THR
94,2017-03-06 16:05:06.401249,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:06,OK
95,2017-03-06 16:05:06.404851,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:06,OK
96,2017-03-06 16:05:06.408032,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:06,THR
97,2017-03-06 16:05:06.618319,192.168.233.145,192.168.233.114,SMPP,78,"[TCP Previous segment not captured] SMPP Submit_sm - resp: ""Ok""",16:05:06,OK
98,2017-03-06 16:05:06.622140,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:06,OK
99,2017-03-06 16:05:06.625477,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:06,THR
100,2017-03-06 16:05:06.826501,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:06,OK
101,2017-03-06 16:05:06.831360,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:06,OK
102,2017-03-06 16:05:06.834516,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:06,THR
103,2017-03-06 16:05:07.037308,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:07,OK
104,2017-03-06 16:05:07.041195,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:07,OK
105,2017-03-06 16:05:07.047223,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:07,THR
106,2017-03-06 16:05:07.250284,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:07,OK
107,2017-03-06 16:05:07.254250,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:07,OK
108,2017-03-06 16:05:07.257895,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:07,THR
109,2017-03-06 16:05:07.459826,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:07,OK
110,2017-03-06 16:05:07.463806,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:07,OK
111,2017-03-06 16:05:07.467228,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:07,THR
112,2017-03-06 16:05:07.668892,192.168.233.145,192.168.233.114,SMPP,78,"[TCP Previous segment not captured] SMPP Submit_sm - resp: ""Ok""",16:05:07,OK
113,2017-03-06 16:05:07.673699,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:07,OK
114,2017-03-06 16:05:07.678216,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:07,THR
115,2017-03-06 16:05:07.880939,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:07,OK
116,2017-03-06 16:05:07.884857,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:07,OK
