15;17;1;7;12;35
32;31;6;30;34;21
34;41;11;33;29;31
28;38;37;45;5;43
15;2;22;6;20;1
24;2;41;13;14;21
8;11;38;3;29;42
14;21;43;7;6;18
32;44;35;23;41;26
19;35;23;39;16;36
14;21;12;6;28;34
22;17;8;38;12;19
24;23;4;17;27;14
32;27;15;39;21;18
3;17;5;6;36;32
26;42;20;18;25;29
39;40;20;45;29;1
25;11;18;43;3;4
13;43;19;42;8;33
19;8;30;15;22;31
21;37;7;4;12;30
14;26;36;18;29;34
30;27;40;19;17;33
40;35;31;39;42;6
3;22;17;25;26;31
36;30;3;14;4;5
13;38;43;20;10;34
9;20;40;36;5;13
34;20;41;40;19;35
12;22;5;24;19;34
21;20;3;39;18;38
21;17;19;16;2;45
21;12;33;23;30;38
18;32;40;43;35;3
31;30;3;28;4;35
33;22;37;20;8;38
35;17;20;1;10;27
19;12;28;42;4;3
45;10;20;14;23;5
4;20;23;33;24;29
23;20;38;14;3;22
19;32;17;36;42;31
36;37;7;45;4;32
5;15;44;14;27;8
5;41;15;29;23;1
20;6;18;44;43;31
30;34;33;3;5;12
37;1;14;24;12;32
22;37;42;3;26;10
9;43;19;7;25;15
43;7;24;8;12;32
30;32;43;31;1;35
34;22;38;36;3;15
10;44;6;27;43;29
33;40;24;10;14;28
13;21;17;28;34;43
24;16;26;43;44;30
26;18;29;17;9;6
42;6;21;29;25;41
22;21;17;24;11;20
30;2;25;43;21;40
37;21;25;18;31;2
33;8;37;40;24;41
19;14;33;4;45;12
6;11;28;44;30;23
17;32;31;1;8;45
37;45;22;31;42;26
27;28;20;7;29;22
24;30;23;38;10;35
20;18;15;12;16;7
34;36;35;27;4;20
38;35;4;21;13;3
36;8;43;27;18;15
3;11;31;41;27;17
19;43;22;6;20;37
36;32;41;45;14;35
21;24;41;5;18;26
40;32;21;25;31;45
38;5;45;39;11;4
28;44;32;37;10;17
28;31;20;26;19;17
42;39;45;28;37;38
41;30;11;42;29;6
34;36;26;10;18;9
17;32;21;14;13;25
24;13;29;19;5;20
30;10;2;13;5;27
1;33;15;13;11;16
37;26;42;7;34;38
1;31;20;43;32;16
2;16;31;23;29;20
30;12;8;20;35;34
43;45;30;42;31;33
36;38;43;21;8;30
10;12;31;43;40;17
23;44;25;1;15;34
7;1;16;24;36;6
12;28;32;10;33;3
23;5;3;7;18;15
30;17;38;2;36;27
14;1;32;26;28;24
32;20;33;6;15;12
31;29;35;5;41;42
14;2;26;1;37;41
6;26;32;11;4;10
35;42;17;23;2;19
33;1;29;26;16;13
27;31;28;25;44;12
24;6;17;11;33;36
25;2;6;19;11;5
11;17;22;5;24;33
23;10;27;11;30;25
30;2;11;35;16;1
5;3;26;36;42;11
20;17;5;7;35;29
27;2;22;15;39;10
13;44;18;12;29;31
40;37;22;33;15;19
14;13;7;15;20;45
20;21;45;5;10;42
8;17;6;33;3;38
14;34;22;35;18;38
15;37;28;30;10;21
20;42;36;16;28;12
15;26;27;22;18;30
7;33;12;30;5;42
41;8;1;42;2;10
19;6;35;2;38;24
6;4;35;40;15;32
2;29;16;38;35;3
18;20;7;1;30;28
15;27;38;12;17;45
17;35;34;14;31;4
32;45;40;7;29;36
39;4;26;31;44;45
1;43;7;19;40;32
35;44;11;10;3;5
28;17;13;16;24;20
25;14;26;24;39;28
39;31;1;40;10;2
42;2;24;43;7;45
20;16;39;42;3;35
14;27;20;16;28;40
17;10;42;38;41;13
35;27;31;18;43;15
19;1;22;6;30;18
27;14;37;9;38;28
31;45;3;32;34;24
2;28;36;14;18;10
7;36;39;11;10;6
28;11;31;10;29;16
34;3;6;41;30;28
43;2;3;7;11;30
31;42;13;12;28;25
18;42;31;16;32;37
41;35;37;28;5;25
7;24;5;30;3;6
41;33;21;27;6;37
39;10;43;3;5;30
13;5;38;36;43;33
33;45;12;25;39;6
23;21;37;8;38;35
6;14;30;7;23;29
28;10;22;21;33;20
1;5;44;10;34;26
21;14;3;30;23;45
43;26;15;2;10;36
16;38;31;17;39;44
1;43;41;11;20;14
38;25;20;1;14;35
34;15;31;3;35;38
45;15;18;5;4;34
26;16;36;14;29;17
10;6;12;41;9;24
32;31;4;44;9;35
32;18;40;3;41;33
8;41;37;35;45;21
2;28;29;39;14;32
27;2;3;28;24;12
4;37;30;22;6;19
29;20;40;35;36;5
23;7;14;43;22;35
33;2;29;17;36;25
8;3;13;23;6;10
25;36;14;16;20;35
12;39;25;22;7;41
22;28;8;17;12;29
19;6;8;34;30;23
37;11;31;10;3;17
3;18;24;25;30;13
15;6;24;7;16;39
27;15;26;14;17;11
17;34;32;29;9;18
27;18;22;3;36;19
27;21;6;30;40;28
12;5;35;42;37;17
20;36;6;28;45;21
8;40;4;26;25;33
10;37;39;7;42;6
17;41;36;45;30;15
9;3;20;40;7;29
31;22;30;32;23;6
5;28;43;6;44;7
28;5;33;44;37;8
7;15;35;41;4;27
